original	short	short.clean
PWY-7791: UMP biosynthesis III	PWY-7791	PWY7791
PWY-7805: (aminomethyl)phosphonate degradation	PWY-7805	PWY7805
PWY-7807: glyphosate degradation III	PWY-7807	PWY7807
PWY-7820: teichuronic acid biosynthesis (B. subtilis 168)	PWY-7820	PWY7820
PWY-7851: coenzyme A biosynthesis II (eukaryotic)	PWY-7851	PWY7851
PWY-7858: (5Z)-dodecenoate biosynthesis II	PWY-7858	PWY7858
PWY-7873: D-erythronate degradation II	PWY-7873	PWY7873
PWY-7874: L-threonate degradation	PWY-7874	PWY7874
PWY-7883: anhydromuropeptides recycling II	PWY-7883	PWY7883
PWY-7942: 5-oxo-L-proline metabolism	PWY-7942	PWY7942
PWY-7953: UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)	PWY-7953	PWY7953
PWY-7977: L-methionine biosynthesis IV	PWY-7977	PWY7977
PWY-8004: Entner-Doudoroff pathway I	PWY-8004	PWY8004
PWY-801: homocysteine and cysteine interconversion	PWY-801	PWY801
PWY-8073: lipid IVA biosynthesis (P. putida)	PWY-8073	PWY8073
PWY-8086: (S)-lactate fermentation to propanoate, acetate and hydrogen	PWY-8086	PWY8086
PWY-8131: 5'-deoxyadenosine degradation II	PWY-8131	PWY8131
PWY-8178: pentose phosphate pathway (non-oxidative branch) II	PWY-8178	PWY8178
PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)	PWY-8187	PWY8187
PWY-8188: L-alanine degradation VI (reductive Stickland reaction)	PWY-8188	PWY8188
PWY-8189: L-alanine degradation V (oxidative Stickland reaction)	PWY-8189	PWY8189
PWY-8190: L-glutamate degradation XI (reductive Stickland reaction)	PWY-8190	PWY8190
PWY-821: superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)	PWY-821	PWY821
PWY-841: superpathway of purine nucleotides de novo biosynthesis I	PWY-841	PWY841
PWY-922: mevalonate pathway I (eukaryotes and bacteria)	PWY-922	PWY922
PWY-922: mevalonate pathway I	PWY-922	PWY922
PWYG-321: mycolate biosynthesis	PWYG-321	PWYG321
PWY-I9: L-cysteine biosynthesis VI (from L-methionine)	PWY-I9	PWYI9
PYRIDNUCSAL-PWY: NAD salvage pathway I (PNC VI cycle)	PYRIDNUCSAL-PWY	PYRIDNUCSALPWY
PYRIDNUCSAL-PWY: NAD salvage pathway I	PYRIDNUCSAL-PWY	PYRIDNUCSALPWY
PYRIDNUCSYN-PWY: NAD de novo biosynthesis I (from aspartate)	PYRIDNUCSYN-PWY	PYRIDNUCSYNPWY
PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate)	PYRIDNUCSYN-PWY	PYRIDNUCSYNPWY
PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I	PYRIDOXSYN-PWY	PYRIDOXSYNPWY
REDCITCYC: TCA cycle VI (Helicobacter)	REDCITCYC	REDCITCYC
REDCITCYC: TCA cycle VIII (helicobacter)	REDCITCYC	REDCITCYC
RHAMCAT-PWY: L-rhamnose degradation I	RHAMCAT-PWY	RHAMCATPWY
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)	RIBOSYN2-PWY	RIBOSYN2PWY
RUMP-PWY: formaldehyde oxidation I	RUMP-PWY	RUMPPWY
SALVADEHYPOX-PWY: adenosine nucleotides degradation II	SALVADEHYPOX-PWY	SALVADEHYPOXPWY
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I	SER-GLYSYN-PWY	SERGLYSYNPWY
SO4ASSIM-PWY: assimilatory sulfate reduction I	SO4ASSIM-PWY	SO4ASSIMPWY
SO4ASSIM-PWY: sulfate reduction I (assimilatory)	SO4ASSIM-PWY	SO4ASSIMPWY
SUCSYN-PWY: sucrose biosynthesis I (from photosynthesis)	SUCSYN-PWY	SUCSYNPWY
SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis	SULFATE-CYS-PWY	SULFATECYSPWY
TCA: TCA cycle I (prokaryotic)	TCA	TCA
TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA	TCA-GLYOX-BYPASS	TCAGLYOXBYPASS
TEICHOICACID-PWY: teichoic acid (poly-glycerol) biosynthesis	TEICHOICACID-PWY	TEICHOICACIDPWY
THISYNARA-PWY: superpathway of thiamine diphosphate biosynthesis III (eukaryotes)	THISYNARA-PWY	THISYNARAPWY
THISYNARA-PWY: superpathway of thiamin diphosphate biosynthesis III (eukaryotes)	THISYNARA-PWY	THISYNARAPWY
THISYN-PWY: superpathway of thiamin diphosphate biosynthesis I	THISYN-PWY	THISYNPWY
THREOCAT-PWY: superpathway of L-threonine metabolism	THREOCAT-PWY	THREOCATPWY
THRESYN-PWY: superpathway of L-threonine biosynthesis	THRESYN-PWY	THRESYNPWY
TRNA-CHARGING-PWY: tRNA charging	TRNA-CHARGING-PWY	TRNACHARGINGPWY
TRPSYN-PWY: L-tryptophan biosynthesis	TRPSYN-PWY	TRPSYNPWY
TYRFUMCAT-PWY: L-tyrosine degradation I	TYRFUMCAT-PWY	TYRFUMCATPWY
UBISYN-PWY: superpathway of ubiquinol-8 biosynthesis (prokaryotic)	UBISYN-PWY	UBISYNPWY
UDPNACETYLGALSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis II	UDPNACETYLGALSYN-PWY	UDPNACETYLGALSYNPWY
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I	UDPNAGSYN-PWY	UDPNAGSYNPWY
URDEGR-PWY: superpathway of allantoin degradation in plants	URDEGR-PWY	URDEGRPWY
URSIN-PWY: ureide biosynthesis	URSIN-PWY	URSINPWY
VALDEG-PWY: L-valine degradation I	VALDEG-PWY	VALDEGPWY
VALSYN-PWY: L-valine biosynthesis	VALSYN-PWY	VALSYNPWY
1CMET2-PWY: folate transformations III (E. coli)	1CMET2-PWY	X1CMET2PWY
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	1CMET2-PWY	X1CMET2PWY
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	X3HYDROXYPHENYLACETATEDEGRADATIONPWY
7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)	7ALPHADEHYDROX-PWY	X7ALPHADEHYDROXPWY
