feature	full.pathway.name	is.community.feat	PVE.Age	pval.Age	padj.Age	PVE.Diet	pval.Diet	padj.Diet	PVE.Genetics	pval.Genetics	padj.Genetics	PVE.Time	pval.Time	padj.Time	PVE.Cohort	pval.Cohort	padj.Cohort	PVE.Batch	pval.Batch	padj.Batch	PVE.Cage	pval.Cage	padj.Cage	PVE.Mouse	pval.Mouse	padj.Mouse	PVE.Residual	pval.Residual	padj.Residual
PWY5941	PWY-5941: glycogen degradation II	N	0.01255683	0.10451562	0.20425286	0.03374147	0.00000000	0.00000000	0.07474531	0.00039274	0.00135718	0.05249649	0.00000000	0.00000002	0.00367622	0.55013087	0.81695357	0.04455466	0.00000000	0.00000000	0.00709732	0.26953320	0.37929156	0.01847330	0.38065521	0.52220539	0.7526584	NA	NA
PWY5973	PWY-5973: cis-vaccenate biosynthesis	N	0.00000007	1.00000000	1.00000000	0.01982019	0.00000123	0.00000229	0.07781656	0.00050894	0.00157412	0.08326412	0.00000000	0.00000000	0.00291954	0.57322567	0.84589518	0.02806216	0.00001177	0.00001639	0.01489701	0.03039208	0.07152618	0.03876092	0.08345002	0.20524193	0.7344594	NA	NA
PWY5981	PWY-5981: CDP-diacylglycerol biosynthesis III	N	0.00023117	0.90401232	1.00000000	0.11422640	0.00000000	0.00000000	0.12817278	0.00000005	0.00000300	0.00388458	0.04171105	0.07799395	0.01195626	0.04152201	0.12188720	0.01645706	0.00227919	0.00244968	0.00678458	0.37999444	0.50358486	0.09656305	0.00000713	0.00097277	0.6217241	NA	NA
PWY5989	PWY-5989: stearate biosynthesis II (bacteria and plants)	N	0.06227949	0.00355664	0.01155906	0.02348150	0.00000833	0.00001430	0.04803720	0.03080644	0.04620965	0.00000028	1.00000000	1.00000000	0.00326789	0.59358091	0.86656464	0.03758643	0.00000003	0.00000006	0.02185989	0.00344918	0.01405412	0.03588127	0.11330363	0.24549120	0.7676060	NA	NA
PWY6121	PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	N	0.00378468	0.56148678	0.70767819	0.04499491	0.00000000	0.00000000	0.09168590	0.00003133	0.00023480	0.00385603	0.18477122	0.30318011	0.00000008	0.96793897	1.00000000	0.04617455	0.00000000	0.00000000	0.01065164	0.16630010	0.26242732	0.05051751	0.02793408	0.10305411	0.7483347	NA	NA
PWY6122	PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	N	0.00531541	0.38156792	0.51088717	0.06025598	0.00000000	0.00000000	0.10169437	0.00000267	0.00003314	0.00425706	0.10515525	0.17942114	0.00000008	0.99706068	1.00000000	0.04398230	0.00000000	0.00000001	0.00463886	0.50076256	0.62423826	0.02830904	0.21270864	0.37953894	0.7515469	NA	NA
PWY6123	PWY-6123: inosine-5'-phosphate biosynthesis I	N	0.01283157	0.17105654	0.29186522	0.10010387	0.00000000	0.00000000	0.05063534	0.00432220	0.00874044	0.06117841	0.00000099	0.00000793	0.00942955	0.07262908	0.17703339	0.02868197	0.00000158	0.00000263	0.00925124	0.13690798	0.22790169	0.01569790	0.42670681	0.57232400	0.7121902	NA	NA
PWY6124	PWY-6124: inosine-5'-phosphate biosynthesis II	N	0.01533471	0.14576869	0.26009707	0.10172456	0.00000000	0.00000000	0.04855823	0.00612273	0.01177116	0.06098323	0.00000193	0.00001387	0.00914405	0.08356949	0.19499547	0.02903920	0.00000106	0.00000187	0.01005038	0.10807168	0.19083829	0.02012230	0.30820535	0.46486221	0.7050433	NA	NA
PWY6125	PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II	N	0.00476754	0.60903893	0.75234221	0.02516911	0.00000002	0.00000005	0.07635470	0.00061558	0.00180701	0.01752150	0.00069493	0.00220601	0.00000008	1.00000000	1.00000000	0.04779913	0.00000000	0.00000000	0.00275927	0.71591709	0.81435569	0.06531873	0.00650188	0.05546915	0.7603099	NA	NA
PWY6126	PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	N	0.00344681	0.65344556	0.79686130	0.02620462	0.00000001	0.00000001	0.07404983	0.00070350	0.00195975	0.01658162	0.00068893	0.00220601	0.00000008	1.00000000	1.00000000	0.04725339	0.00000000	0.00000000	0.00137936	0.85109524	0.92201984	0.06502496	0.00616364	0.05429402	0.7660593	NA	NA
PWY6143	PWY-6143: CMP-pseudaminate biosynthesis	N	0.22653166	0.00000005	0.00000099	0.03250823	0.00000000	0.00000000	0.03829950	0.02375692	0.03706080	0.01418199	0.00302641	0.00772158	0.01710811	0.00533660	0.02142488	0.01568363	0.00070871	0.00078015	0.00769500	0.21055129	0.31410111	0.07353874	0.00003476	0.00237233	0.5744531	NA	NA
PWY6147	PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	N	0.00083103	0.86720581	0.99473607	0.08990244	0.00000000	0.00000000	0.09263373	0.00000408	0.00004555	0.00000007	0.98638906	1.00000000	0.00958246	0.14222637	0.28975970	0.03602801	0.00000060	0.00000110	0.02676989	0.00067583	0.00461257	0.02798287	0.16776159	0.31804801	0.7162695	NA	NA
PWY6151	PWY-6151: S-adenosyl-L-methionine salvage I	N	0.00208889	0.58236195	0.72928813	0.01716338	0.00002740	0.00004324	0.06272085	0.00315178	0.00672215	0.03182489	0.00000638	0.00003871	0.00017299	0.97949482	1.00000000	0.06864400	0.00000000	0.00000000	0.00538561	0.41541813	0.54004357	0.02447405	0.26870775	0.43406637	0.7875253	NA	NA
PWY6163	PWY-6163: chorismate biosynthesis from 3-dehydroquinate	N	0.07185666	0.00000000	0.00000000	0.07733781	0.00000000	0.00000000	0.04896070	0.01160758	0.02068620	0.03922596	0.00000000	0.00000001	0.00008479	0.98130535	1.00000000	0.02108586	0.00005755	0.00007447	0.00515277	0.43307475	0.55768588	0.05289625	0.01043734	0.06001083	0.6833992	NA	NA
PWY621	PWY-621: sucrose degradation III (sucrose invertase)	N	0.00344240	0.23880848	0.36019180	0.01005692	0.00177346	0.00222090	0.01262704	0.47098621	0.50423230	0.02736052	0.00000922	0.00005353	0.04096098	0.00000058	0.00001827	0.01122349	0.05373838	0.05515255	0.00786376	0.24158021	0.34894920	0.04547989	0.02661807	0.10027706	0.8409850	NA	NA
PWY622	PWY-622: starch biosynthesis	N	0.12502709	0.00049968	0.00231208	0.08076593	0.00000000	0.00000000	0.07682103	0.00000037	0.00001278	0.16240942	0.00041377	0.00154740	0.00000004	0.98886778	1.00000000	0.04180900	0.00000000	0.00000000	0.04212822	0.00000000	0.00000003	0.02692656	0.05540053	0.15433006	0.4441127	NA	NA
PWY6270	PWY-6270: isoprene biosynthesis I	N	0.10040388	0.00000008	0.00000149	0.04403658	0.00000000	0.00000000	0.05362169	0.00077507	0.00211595	0.01601799	0.00133197	0.00374874	0.00119015	0.79237425	1.00000000	0.02184144	0.00022201	0.00025901	0.02232605	0.00046801	0.00365050	0.00000012	0.99616376	1.00000000	0.7405621	NA	NA
PWY6277	PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	N	0.00531541	0.38156792	0.51088717	0.06025598	0.00000000	0.00000000	0.10169437	0.00000267	0.00003314	0.00425706	0.10515525	0.17942114	0.00000008	0.99706068	1.00000000	0.04398230	0.00000000	0.00000001	0.00463886	0.50076256	0.62423826	0.02830904	0.21270864	0.37953894	0.7515469	NA	NA
PWY6282	PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	N	0.06512399	0.00086209	0.00373572	0.03217432	0.00000006	0.00000013	0.04556648	0.04312725	0.06084889	0.00000008	1.00000000	1.00000000	0.00102648	0.84800030	1.00000000	0.03522787	0.00000006	0.00000012	0.01953649	0.00897864	0.02754122	0.04760813	0.03596027	0.11587073	0.7537362	NA	NA
PWY6292	PWY-6292: superpathway of L-cysteine biosynthesis (mammalian)	N	0.02058830	0.00392610	0.01246309	0.04048866	0.00000000	0.00000001	0.04834376	0.03063324	0.04620372	0.00000008	1.00000000	1.00000000	0.01607140	0.02404324	0.08308615	0.03550969	0.00000001	0.00000002	0.02187831	0.00467726	0.01749169	0.06597164	0.00267752	0.04060912	0.7511482	NA	NA
PWY6293	PWY-6293: superpathway of L-cysteine biosynthesis (fungi)	N	0.00961246	0.05164426	0.11279105	0.06604743	0.00000000	0.00000000	0.08724973	0.00003817	0.00024230	0.00129464	0.59051955	0.77134851	0.01984838	0.01459241	0.05532957	0.04353859	0.00000000	0.00000001	0.01914746	0.01012550	0.02909748	0.03330040	0.11318746	0.24549120	0.7199609	NA	NA
PWY6305	PWY-6305: superpathway of putrescine biosynthesis	N	0.00835883	0.13855367	0.25250529	0.01870987	0.00002925	0.00004563	0.05161588	0.00123544	0.00312772	0.01326099	0.02115641	0.04278296	0.02441152	0.00353155	0.01555022	0.03349930	0.00000037	0.00000069	0.02104638	0.00246713	0.01101446	0.00000004	0.99084271	1.00000000	0.8290972	NA	NA
PWY6317	PWY-6317: D-galactose degradation I (Leloir pathway)	N	0.02959390	0.05014621	0.11040254	0.05423055	0.00000000	0.00000000	0.06947052	0.00021502	0.00094619	0.04631276	0.00000001	0.00000013	0.00208217	0.64563602	0.93258536	0.03737868	0.00000014	0.00000028	0.00000007	1.00000000	1.00000000	0.03550469	0.07017904	0.18347157	0.7254266	NA	NA
PWY6353	PWY-6353: purine nucleotides degradation II (aerobic)	N	0.00913322	0.03487864	0.08069380	0.02265867	0.00000034	0.00000069	0.02446238	0.12600329	0.14827112	0.01411780	0.00684513	0.01590735	0.04493080	0.00000507	0.00009232	0.02658276	0.00003723	0.00004911	0.00787651	0.22039919	0.32348914	0.03686877	0.05786884	0.15957771	0.8133691	NA	NA
PWY6385	PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	N	0.00072501	0.84699652	0.98122309	0.00100303	0.71173555	0.73322190	0.02149636	0.24565017	0.27484630	0.06844905	0.00000000	0.00000000	0.00000008	1.00000000	1.00000000	0.04335082	0.00000000	0.00000000	0.03558227	0.00000094	0.00005878	0.01909540	0.36833027	0.51303144	0.8102980	NA	NA
PWY6386	PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	N	0.01569596	0.19665070	0.31955739	0.00883418	0.02234187	0.02562744	0.03806787	0.05030179	0.06698726	0.04815952	0.00000000	0.00000006	0.00000008	0.98570131	1.00000000	0.04352130	0.00000000	0.00000000	0.03062293	0.00002734	0.00058422	0.01895507	0.37173357	0.51514347	0.7961431	NA	NA
PWY6387	PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	N	0.00348566	0.28650054	0.40950077	0.00427156	0.14507563	0.15410758	0.04184138	0.04677475	0.06338436	0.13698466	0.00000000	0.00000000	0.00823055	0.12738774	0.26547216	0.02167483	0.00004700	0.00006139	0.02334454	0.00108697	0.00618213	0.04912776	0.02607277	0.10027706	0.7110391	NA	NA
PWY6470	PWY-6470: peptidoglycan biosynthesis V (&beta;-lactam resistance)	N	0.00644179	0.10678973	0.20530702	0.00042440	0.80453278	0.82570470	0.00000051	1.00000000	1.00000000	0.00497111	0.28797576	0.43676323	0.01144197	0.11218778	0.23927550	0.07105902	0.00000000	0.00000000	0.00510850	0.36900461	0.49140614	0.00000017	1.00000000	1.00000000	0.9005525	NA	NA
PWY6507	PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation	N	0.06284298	0.01486812	0.03979410	0.01429285	0.00010318	0.00014825	0.03006211	0.04016469	0.05740816	0.02319449	0.00036874	0.00139815	0.02873597	0.00127380	0.00643978	0.03769429	0.00000000	0.00000001	0.00603649	0.30728421	0.42155070	0.03217943	0.07056599	0.18347157	0.7649614	NA	NA
PWY6519	PWY-6519: 8-amino-7-oxononanoate biosynthesis I	N	0.04863080	0.00249710	0.00862921	0.02656300	0.00000122	0.00000229	0.04842141	0.03815764	0.05570607	0.00000008	1.00000000	1.00000000	0.00628916	0.31560035	0.54187985	0.03505833	0.00000006	0.00000013	0.01824853	0.01543788	0.03930171	0.04977272	0.03261296	0.11203207	0.7670160	NA	NA
PWY6527	PWY-6527: stachyose degradation	N	0.03956693	0.00229301	0.00834655	0.01143809	0.00023079	0.00031983	0.07076674	0.00051317	0.00157412	0.04704733	0.00000002	0.00000017	0.00000007	1.00000000	1.00000000	0.06704153	0.00000000	0.00000000	0.00000007	1.00000000	1.00000000	0.02970470	0.14713960	0.29108052	0.7344345	NA	NA
PWY6531	PWY-6531: mannitol cycle	N	0.00222355	0.49185278	0.63337645	0.00511397	0.04546203	0.04984392	0.06929110	0.00048722	0.00152886	0.02765034	0.00001050	0.00005970	0.01828782	0.01103537	0.04366168	0.03153990	0.00001956	0.00002643	0.00947706	0.16316366	0.26048935	0.00000019	1.00000000	1.00000000	0.8364161	NA	NA
PWY6545	PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III	N	0.00455025	0.23689546	0.35975969	0.05091238	0.00000000	0.00000000	0.06667305	0.00118668	0.00305625	0.00000008	1.00000000	1.00000000	0.01262824	0.05312387	0.14502818	0.03749305	0.00000019	0.00000037	0.01285919	0.08639531	0.16154740	0.04959559	0.01922157	0.08199200	0.7652882	NA	NA
PWY6549	PWY-6549: L-glutamine biosynthesis III	N	0.00000003	0.99791669	1.00000000	0.06071919	0.00000000	0.00000000	0.09205923	0.00003785	0.00024230	0.00000007	1.00000000	1.00000000	0.01487475	0.02974531	0.09667226	0.03905908	0.00000006	0.00000013	0.00000032	1.00000000	1.00000000	0.05331738	0.01495953	0.07164826	0.7399699	NA	NA
PWY6562	PWY-6562: norspermidine biosynthesis	N	0.09283326	0.00000151	0.00001918	0.00507761	0.03132335	0.03490316	0.00510682	0.72321453	0.75357849	0.09523763	0.00000000	0.00000000	0.00000007	1.00000000	1.00000000	0.02463551	0.00000742	0.00001072	0.00249252	0.66340703	0.76417771	0.03631029	0.03886145	0.11918279	0.7383063	NA	NA
PWY6565	PWY-6565: superpathway of polyamine biosynthesis III	N	0.09222122	0.00000162	0.00001918	0.00524615	0.02845829	0.03197166	0.00477921	0.73932391	0.76743509	0.09553612	0.00000000	0.00000000	0.00000007	1.00000000	1.00000000	0.02441360	0.00000847	0.00001204	0.00298294	0.60369407	0.71655861	0.03587779	0.04109676	0.12329027	0.7389429	NA	NA
PWY6588	PWY-6588: pyruvate fermentation to acetone	N	0.03167149	0.00059280	0.00265302	0.01457304	0.00170472	0.00214465	0.04028527	0.02560705	0.03972003	0.00332892	0.50783846	0.68633614	0.03304479	0.00022662	0.00193339	0.02705605	0.00002629	0.00003501	0.03079008	0.00011902	0.00129967	0.03388143	0.09443880	0.22815746	0.7853689	NA	NA
PWY6590	PWY-6590: superpathway of Clostridium acetobutylicum acidogenic fermentation	N	0.06825630	0.00031629	0.00156995	0.00835283	0.00847405	0.01010225	0.00873259	0.63734091	0.67439561	0.00465409	0.39963595	0.56145685	0.03238810	0.00175619	0.00805316	0.06128729	0.00000000	0.00000000	0.00042902	0.94361679	1.00000000	0.06602817	0.00076539	0.02089513	0.7498716	NA	NA
PWY6595	PWY-6595: superpathway of guanosine nucleotides degradation (plants)	N	0.01054085	0.04068207	0.09255170	0.00597669	0.03641695	0.04025031	0.06124949	0.00045455	0.00147728	0.00597475	0.20368624	0.32518330	0.06255187	0.00000004	0.00000239	0.03228569	0.00000148	0.00000253	0.01160856	0.05651349	0.11777239	0.00000017	0.99242239	1.00000000	0.8098119	NA	NA
PWY6606	PWY-6606: guanosine nucleotides degradation II	N	0.01217293	0.01508508	0.03998278	0.01438277	0.00056973	0.00076243	0.03910271	0.03733086	0.05479206	0.00509044	0.23990734	0.36794777	0.03165676	0.00018381	0.00179215	0.02558067	0.00010302	0.00012555	0.01315893	0.04377746	0.09796103	0.02367697	0.25336774	0.41455077	0.8351778	NA	NA
PWY6607	PWY-6607: guanosine nucleotides degradation I	N	0.01374235	0.00406197	0.01274619	0.06451164	0.00000000	0.00000000	0.06085936	0.00078987	0.00213499	0.00000008	1.00000000	1.00000000	0.02649047	0.00099602	0.00543828	0.03187957	0.00000558	0.00000823	0.01728827	0.01339457	0.03550211	0.03074710	0.11309492	0.24549120	0.7544812	NA	NA
PWY6608	PWY-6608: guanosine nucleotides degradation III	N	0.01042091	0.01824425	0.04611741	0.02054597	0.00001906	0.00003097	0.03771252	0.03476074	0.05157435	0.00378645	0.39631436	0.56145685	0.00038430	0.94471031	1.00000000	0.04694579	0.00000000	0.00000000	0.02063253	0.00441968	0.01723677	0.02621427	0.21456489	0.38036503	0.8333573	NA	NA
PWY6609	PWY-6609: adenine and adenosine salvage III	N	0.17939187	0.00003289	0.00025654	0.07574441	0.00000000	0.00000000	0.08592180	0.00000033	0.00001278	0.00221117	0.47095062	0.64284759	0.00000006	1.00000000	1.00000000	0.03221605	0.00000000	0.00000000	0.01157499	0.05861592	0.12031689	0.03564912	0.03853592	0.11918279	0.5772905	NA	NA
PWY6628	PWY-6628: superpathway of L-phenylalanine biosynthesis	N	0.00066671	0.78649576	0.92548854	0.00734896	0.00373096	0.00462979	0.00000020	1.00000000	1.00000000	0.01004025	0.01402811	0.02968739	0.01653414	0.01920566	0.06898873	0.04207107	0.00000000	0.00000001	0.00000009	1.00000000	1.00000000	0.03843829	0.01398289	0.06940598	0.8849003	NA	NA
PWY6630	PWY-6630: superpathway of L-tyrosine biosynthesis	N	0.00000009	1.00000000	1.00000000	0.00850298	0.00157769	0.00200330	0.00000045	1.00000000	1.00000000	0.01314663	0.00191066	0.00511383	0.02596756	0.00249746	0.01117714	0.04739507	0.00000000	0.00000000	0.00000009	1.00000000	1.00000000	0.03571068	0.03180625	0.11203207	0.8692764	NA	NA
PWY66391	PWY66-391: fatty acid &beta;-oxidation VI (mammalian peroxisome)	N	0.03684030	0.00000101	0.00001460	0.01152084	0.00624629	0.00757883	0.04240861	0.04095474	0.05823252	0.00000008	1.00000000	1.00000000	0.02784477	0.00035295	0.00253570	0.02672868	0.00000529	0.00000784	0.02238872	0.00623558	0.02182453	0.06486118	0.00351037	0.05043853	0.7674068	NA	NA
PWY66399	PWY66-399: gluconeogenesis III	N	0.12516099	0.00000000	0.00000004	0.06035053	0.00000000	0.00000000	0.00000032	1.00000000	1.00000000	0.01608400	0.06256803	0.11311968	0.02036470	0.08884837	0.20555598	0.04915528	0.00000000	0.00000000	0.00916050	0.10076388	0.18097724	0.03890036	0.00797339	0.05841765	0.6808233	NA	NA
PWY66409	PWY66-409: superpathway of purine nucleotide salvage	N	0.00000005	1.00000000	1.00000000	0.00677063	0.02025915	0.02343537	0.04851928	0.01285735	0.02207582	0.02305046	0.00156153	0.00422076	0.00000009	1.00000000	1.00000000	0.03263959	0.00000176	0.00000290	0.00878230	0.14937248	0.24412016	0.00000014	1.00000000	1.00000000	0.8802374	NA	NA
PWY66429	PWY66-429: fatty acid biosynthesis initiation (mitochondria)	N	0.04770651	0.00019109	0.00110994	0.03625186	0.00000002	0.00000004	0.09722146	0.00000423	0.00004555	0.01115670	0.00289561	0.00745757	0.00212265	0.72773104	1.00000000	0.04111698	0.00000000	0.00000000	0.03158175	0.00005988	0.00090820	0.01915749	0.36307401	0.50984720	0.7136846	NA	NA
PWY6700	PWY-6700: queuosine biosynthesis I (de novo)	N	0.11975836	0.00000122	0.00001664	0.01465582	0.00068079	0.00090662	0.10686749	0.00000344	0.00004080	0.00249452	0.46265098	0.63469204	0.00478011	0.46375533	0.72345831	0.03891789	0.00000003	0.00000008	0.03121651	0.00003773	0.00064375	0.01837414	0.39714378	0.53940424	0.6629352	NA	NA
PWY6703	PWY-6703: preQ0 biosynthesis	N	0.00022718	0.95101149	1.00000000	0.02882580	0.00000000	0.00000001	0.10084814	0.00001239	0.00012085	0.02806300	0.00000792	0.00004698	0.00135151	0.80683571	1.00000000	0.05591641	0.00000000	0.00000000	0.00812882	0.25025378	0.35769257	0.01315272	0.56601395	0.71537874	0.7634864	NA	NA
PWY6731	PWY-6731: starch degradation III	N	0.00470551	0.14248973	0.25591905	0.02796999	0.00000002	0.00000005	0.05436494	0.00203807	0.00471519	0.02904276	0.00000015	0.00000131	0.01352917	0.06723068	0.16869170	0.03420716	0.00000031	0.00000060	0.00825640	0.21771005	0.32233433	0.01597346	0.43875218	0.58145313	0.8119506	NA	NA
PWY6749	PWY-6749: CMP-legionaminate biosynthesis I	N	0.00573411	0.24434596	0.36651894	0.00588493	0.02544593	0.02870553	0.03719576	0.03286943	0.04903472	0.03161030	0.00058767	0.00208354	0.02466433	0.00053804	0.00326413	0.01683844	0.01106970	0.01144708	0.00468834	0.45875846	0.58097520	0.01899629	0.35264384	0.50404067	0.8543875	NA	NA
PWY6803	PWY-6803: phosphatidylcholine acyl editing	N	0.04120977	0.04173423	0.09416070	0.01669997	0.00013451	0.00018929	0.07263143	0.00038532	0.00134861	0.00533759	0.22202200	0.35021666	0.00000008	1.00000000	1.00000000	0.02437892	0.00014592	0.00017171	0.01826932	0.01067967	0.03005720	0.00733950	0.73978032	0.89760012	0.8141334	NA	NA
PWY6823	PWY-6823: molybdopterin biosynthesis	N	0.03387143	0.00931438	0.02676660	0.04293252	0.00000000	0.00000000	0.01625882	0.26432393	0.29214750	0.01385845	0.03102465	0.06049806	0.03357255	0.00062959	0.00369374	0.06499970	0.00000000	0.00000000	0.00762455	0.19282805	0.29574190	0.01891831	0.23882260	0.41005390	0.7679636	NA	NA
PWY6859	PWY-6859: all-trans-farnesol biosynthesis	N	0.00657142	0.18570927	0.30681244	0.09666123	0.00000000	0.00000000	0.09110246	0.00003573	0.00024230	0.00000007	0.98545923	1.00000000	0.01112738	0.11543940	0.24430199	0.04265663	0.00000000	0.00000001	0.02212123	0.00512902	0.01866964	0.05282074	0.01131990	0.06180666	0.6769388	NA	NA
PWY6876	PWY-6876: isopropanol biosynthesis (engineered)	N	0.00422185	0.41208097	0.54610730	0.01699336	0.00007540	0.00011248	0.02991613	0.12110948	0.14375169	0.00721916	0.14105688	0.23480809	0.03130706	0.00004070	0.00048109	0.02806682	0.00007764	0.00009591	0.01399507	0.03825034	0.08775079	0.01490155	0.51159931	0.65571179	0.8533790	NA	NA
PWY6895	PWY-6895: superpathway of thiamine diphosphate biosynthesis II	N	0.03380512	0.00336865	0.01121514	0.02015630	0.00004100	0.00006218	0.04322984	0.02275387	0.03590640	0.00000003	0.99171861	1.00000000	0.00000008	0.99043630	1.00000000	0.04139898	0.00000000	0.00000000	0.02142224	0.00278001	0.01149912	0.01096525	0.61028531	0.76777829	0.8290222	NA	NA
PWY6897	PWY-6897: thiamine diphosphate salvage II	N	0.00000030	1.00000000	1.00000000	0.00806309	0.00387307	0.00476283	0.00000019	1.00000000	1.00000000	0.01657612	0.00537503	0.01275986	0.02303522	0.00161510	0.00773546	0.03691484	0.00000000	0.00000001	0.00108407	0.85791861	0.92209362	0.04569770	0.00387837	0.05070202	0.8686285	NA	NA
PWY6901	PWY-6901: superpathway of glucose and xylose degradation	N	0.06777338	0.00000270	0.00003073	0.05799991	0.00000000	0.00000000	0.04800116	0.00709511	0.01354521	0.00034400	0.93332707	1.00000000	0.01344917	0.06907010	0.17141943	0.04243728	0.00000000	0.00000000	0.00584600	0.32983119	0.45021958	0.03348986	0.08105908	0.20117390	0.7306592	NA	NA
PWY6936	PWY-6936: seleno-amino acid biosynthesis (plants)	N	0.02793254	0.12685775	0.23559297	0.10051922	0.00000000	0.00000000	0.12337670	0.00000006	0.00000300	0.00000009	1.00000000	1.00000000	0.00327317	0.54528395	0.81695357	0.03525343	0.00000091	0.00000161	0.01121779	0.12857945	0.21668018	0.05456415	0.00984327	0.05841765	0.6438629	NA	NA
PWY6953	PWY-6953: dTDP-3-acetamido-&alpha;-D-fucose biosynthesis	N	0.00142187	0.65030326	0.79686130	0.03798890	0.00000000	0.00000000	0.03101412	0.09361466	0.11409287	0.01032143	0.02188492	0.04393076	0.04132071	0.00000243	0.00005100	0.02436059	0.00037916	0.00043310	0.01136856	0.11075891	0.19382809	0.02836676	0.19568700	0.36509246	0.8138371	NA	NA
PWY6961	PWY-6961: L-ascorbate degradation II (bacterial, aerobic)	N	0.04081817	0.02967562	0.07106531	0.00313339	0.24919694	0.26165679	0.04079294	0.06645656	0.08438438	0.00446401	0.29576228	0.44229275	0.00000008	1.00000000	1.00000000	0.02842186	0.00000730	0.00001060	0.01941735	0.01032608	0.02936479	0.03344649	0.15499249	0.30009183	0.8295057	NA	NA
PWY6969	PWY-6969: TCA cycle V (2-oxoglutarate synthase)	N	0.00967575	0.10112249	0.20004667	0.01731220	0.00009030	0.00013044	0.04973218	0.00478871	0.00940517	0.04308023	0.00000155	0.00001198	0.03655032	0.00021776	0.00191770	0.02966830	0.00000040	0.00000076	0.02169983	0.00170005	0.00843845	0.02132097	0.29298260	0.45229073	0.7709602	NA	NA
PWY702	PWY-702: L-methionine biosynthesis II	N	0.00060529	0.82216999	0.95919832	0.01158267	0.00009014	0.00013044	0.01383460	0.38582830	0.41468948	0.01698225	0.00057964	0.00208214	0.02701876	0.00044224	0.00294469	0.03081896	0.00000211	0.00000348	0.00120406	0.83547150	0.91177679	0.00085591	0.96330016	1.00000000	0.8970975	NA	NA
PWY7090	PWY-7090: UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate biosynthesis	N	0.00766025	0.20955195	0.33850700	0.00954873	0.00464005	0.00568042	0.02645995	0.19983412	0.22731131	0.03284964	0.00000406	0.00002519	0.04960037	0.00001205	0.00016443	0.02283828	0.00508592	0.00538162	0.01176892	0.07576875	0.14670119	0.02282246	0.30238927	0.45862373	0.8164514	NA	NA
PWY7111	PWY-7111: pyruvate fermentation to isobutanol (engineered)	N	0.00133405	0.74127810	0.87986487	0.01215235	0.00166627	0.00210599	0.05245518	0.01745331	0.02905338	0.01701783	0.00916900	0.02042233	0.01522525	0.03534623	0.10721691	0.04449332	0.00000000	0.00000001	0.01247931	0.08622473	0.16154740	0.05882937	0.00744322	0.05841765	0.7860133	NA	NA
PWY7115	PWY-7115: C4 photosynthetic carbon assimilation cycle, NAD-ME type	N	0.10527540	0.13649337	0.25177494	0.02698178	0.00000056	0.00000110	0.05716116	0.00069881	0.00195975	0.04403112	0.00016100	0.00064436	0.01560805	0.20143915	0.37926130	0.04015598	0.00000000	0.00000000	0.03297215	0.00000743	0.00025994	0.02044761	0.24897837	0.41455077	0.6573668	NA	NA
PWY7117	PWY-7117: C4 photosynthetic carbon assimilation cycle, PEPCK type	N	0.00000008	0.99670355	1.00000000	0.08964902	0.00000000	0.00000000	0.08529873	0.00005185	0.00030118	0.00668064	0.07454835	0.13301765	0.00963556	0.09691636	0.21866252	0.02965375	0.00001483	0.00002045	0.00298070	0.64217383	0.74601470	0.01738680	0.42559801	0.57232400	0.7587147	NA	NA
PWY7118	PWY-7118: chitin deacetylation	N	0.05887998	0.00352601	0.01155906	0.01772866	0.00012125	0.00017151	0.06183754	0.00254570	0.00565021	0.00647373	0.19790396	0.31781048	0.00000008	1.00000000	1.00000000	0.04424935	0.00000000	0.00000000	0.02106462	0.00451976	0.01737879	0.02854058	0.19658825	0.36509246	0.7612254	NA	NA
PWY7184	PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I	N	0.00394733	0.28487790	0.40932457	0.05438114	0.00000000	0.00000000	0.07389432	0.00036881	0.00130759	0.00000008	1.00000000	1.00000000	0.01178792	0.06470465	0.16664500	0.03665711	0.00000020	0.00000040	0.01331375	0.07746882	0.14893654	0.04562399	0.03131774	0.11203207	0.7603944	NA	NA
PWY7197	PWY-7197: pyrimidine deoxyribonucleotide phosphorylation	N	0.00569576	0.32937016	0.46349512	0.03082639	0.00000000	0.00000000	0.07253392	0.00127731	0.00312772	0.02150911	0.00001156	0.00006309	0.00000008	0.97154019	1.00000000	0.03945974	0.00000000	0.00000001	0.00205908	0.78102234	0.87018881	0.07533085	0.00147551	0.03356791	0.7525851	NA	NA
