feature	full.pathway.name	is.community.feat	solution.age	std.error.age	pval.age	padj.age	solution.1D	solution.2D	solution.20	solution.40	std.error.1D	std.error.2D	std.error.20	std.error.40	pval.DR	padj.DR	herit	herit.se	herit.pval	herit.padj	PVE.Cohort	PVE.Quarter.Date	PVE.Cage	PVE.Batch	PVE.Mouse
PWY6147	PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	N	 0.00705646	0.02534121	0.78067301	0.82287155	 0.14469387	 0.54213195	 0.47138844	 0.75455026	0.07455323	0.07411879	0.07262294	0.07568975	0.00000000	0.00000000	0.10227853	0.02725343	0.00000376	0.00004461	0.01070645	0.00000008	0.02967549	0.04029388	0.03036307
PWY6151	PWY-6151: S-adenosyl-L-methionine salvage I	N	-0.06863755	0.03518287	0.05109978	0.07664966	-0.08723489	-0.11643503	-0.22158560	-0.35399086	0.06964877	0.06816410	0.06713324	0.07025660	0.00000664	0.00000986	0.06327501	0.02435587	0.00381480	0.00784857	0.00514208	0.01924427	0.00620243	0.07083882	0.02613892
PWY6163	PWY-6163: chorismate biosynthesis from 3-dehydroquinate	N	-0.07484915	0.03316901	0.02376091	0.03955323	-0.33577591	-0.40419398	-0.41008086	-0.83301541	0.06629700	0.06519534	0.06435020	0.06702778	0.00000000	0.00000000	0.05920379	0.02573874	0.01031371	0.01804900	0.00059319	0.02753347	0.00596893	0.04549751	0.05703148
PWY621	PWY-621: sucrose degradation III (sucrose invertase)	N	 0.03111947	0.03588510	0.38584376	0.46837536	-0.10472806	-0.14982314	-0.27306100	-0.00136917	0.06637890	0.06565575	0.06509828	0.06702388	0.00011318	0.00014371	0.01240622	0.01898444	0.48038016	0.51428935	0.04316760	0.03263942	0.00803411	0.01388412	0.04602259
PWY622	PWY-622: starch biosynthesis	N	 0.40472889	0.03661288	0.00000000	0.00000000	-0.07253115	 0.16662263	 0.01371153	 0.61700697	0.07464701	0.07467093	0.07162164	0.07532508	0.00000000	0.00000000	0.10944192	0.02757164	0.00000060	0.00001491	0.03611638	0.04273118	0.06536129	0.07423580	0.03744642
PWY6270	PWY-6270: isoprene biosynthesis I	N	 0.17133875	0.03516635	0.00000110	0.00000396	 0.31547581	 0.29799545	 0.42148211	 0.49188081	0.06915862	0.06857573	0.06757294	0.07001220	0.00000000	0.00000000	0.05972284	0.02301429	0.00074917	0.00204524	0.00230177	0.04390047	0.02395368	0.03162691	0.00000009
PWY6277	PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	N	-0.10726402	0.02753056	0.00009773	0.00026158	-0.18713455	-0.62244885	-0.30001694	-0.46488494	0.06772875	0.06655157	0.06570559	0.06872224	0.00000000	0.00000000	0.10880812	0.02841894	0.00000279	0.00003815	0.00000008	0.00333259	0.00473580	0.04760716	0.03193265
PWY6282	PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	N	 0.19999692	0.02490070	0.00000000	0.00000000	 0.03153705	 0.11759018	 0.18080620	 0.46732120	0.07199028	0.07128825	0.07022485	0.07290659	0.00000000	0.00000000	0.04995355	0.02624573	0.04531750	0.06191364	0.00141543	0.00000008	0.02216212	0.03591323	0.05369936
PWY6292	PWY-6292: superpathway of L-cysteine biosynthesis (mammalian)	N	-0.07974137	0.02590113	0.00207951	0.00447012	 0.13197634	 0.44617738	 0.29218302	 0.48599958	0.07480968	0.07413159	0.07282109	0.07574527	0.00000000	0.00000000	0.05132789	0.02587886	0.02983806	0.04525439	0.02250366	0.00000010	0.02284220	0.04082580	0.06841794
PWY6293	PWY-6293: superpathway of L-cysteine biosynthesis (fungi)	N	-0.07495856	0.02777344	0.00695327	0.01346272	 0.14921403	 0.48076807	 0.52348493	 0.65883433	0.07375776	0.07297505	0.07165324	0.07476941	0.00000000	0.00000000	0.09421488	0.02694613	0.00003604	0.00023674	0.02498264	0.00260461	0.02066325	0.04867765	0.03508834
PWY6305	PWY-6305: superpathway of putrescine biosynthesis	N	 0.06909950	0.03248075	0.03338356	0.05361007	-0.19617543	-0.36847027	-0.38321737	-0.19236150	0.07228017	0.07144548	0.07046738	0.07307828	0.00000003	0.00000006	0.05284705	0.02211211	0.00116591	0.00294716	0.02484449	0.01523374	0.02148043	0.03756105	0.00000004
PWY6317	PWY-6317: D-galactose degradation I (Leloir pathway)	N	-0.16115650	0.03386716	0.00000195	0.00000650	-0.20233505	-0.38369801	-0.42741857	-0.55361534	0.06356799	0.06236009	0.06162125	0.06432132	0.00000000	0.00000000	0.07553705	0.02547491	0.00028126	0.00109691	0.00403664	0.03013018	0.00000008	0.04253997	0.04083412
PWY6353	PWY-6353: purine nucleotides degradation II (aerobic)	N	-0.01310165	0.03493073	0.70758611	0.76051578	-0.16310476	-0.37861681	-0.34792564	-0.31133023	0.06695348	0.06586558	0.06515744	0.06750379	0.00000000	0.00000000	0.02433621	0.01906951	0.13308507	0.15526592	0.04369245	0.02548574	0.00825252	0.03398044	0.03833636
PWY6385	PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	N	 0.04956236	0.03983690	0.21343094	0.28012811	-0.07370130	 0.06939976	-0.10364255	-0.09496269	0.07707121	0.07652909	0.07504127	0.07776082	0.17702808	0.18375918	0.02087489	0.01958881	0.26720040	0.29652727	0.00000008	0.06452109	0.03730097	0.04310257	0.01964807
PWY6386	PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	N	 0.12000496	0.03778080	0.00149076	0.00330876	-0.02902362	 0.19056070	-0.06951765	 0.04761656	0.07583340	0.07511619	0.07374627	0.07657506	0.01514978	0.01654356	0.04036357	0.02193329	0.04581156	0.06191364	0.00000008	0.04402999	0.03155966	0.04897844	0.01816730
PWY6387	PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	N	 0.08125327	0.04502901	0.07116252	0.10279030	-0.07996030	 0.08758066	-0.04754014	-0.15527938	0.07110766	0.07094609	0.06951735	0.07198461	0.02939790	0.03184773	0.04153379	0.02297577	0.05630956	0.07355267	0.01043503	0.11937698	0.02588485	0.02404405	0.05192813
PWY6470	PWY-6470: peptidoglycan biosynthesis V (&beta;-lactam resistance)	N	-0.03715307	0.03115165	0.23307449	0.30299684	-0.09256909	-0.11162686	-0.07417851	 0.00478973	0.06659780	0.06459833	0.06372398	0.06647980	0.24613120	0.25356158	0.00000050	0.00000001	1.00000000	1.00000000	0.01154508	0.00506851	0.00465290	0.07673958	0.00000017
PWY6507	PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation	N	-0.15289487	0.03393177	0.00000662	0.00002152	-0.12373662	-0.26558170	-0.27564889	-0.15108779	0.06726591	0.06597046	0.06517731	0.06777613	0.00005478	0.00007225	0.03286097	0.01959624	0.03983829	0.05819398	0.02234897	0.02033709	0.00705584	0.04794717	0.03483722
PWY6519	PWY-6519: 8-amino-7-oxononanoate biosynthesis I	N	 0.17985822	0.02499709	0.00000000	0.00000000	 0.03372163	 0.13261838	 0.19368867	 0.43379887	0.07204221	0.07133096	0.07027371	0.07297444	0.00000003	0.00000005	0.05129486	0.02645496	0.04210282	0.06017837	0.00548874	0.00000008	0.02045633	0.03527184	0.05523144
PWY6527	PWY-6527: stachyose degradation	N	-0.07512295	0.03722124	0.04357382	0.06797516	-0.08155198	-0.27627581	-0.23111094	-0.11805669	0.06752784	0.06589865	0.06480142	0.06811275	0.00007501	0.00009660	0.07413278	0.02505049	0.00063723	0.00181211	0.00000008	0.02876402	0.00000008	0.07974954	0.03140037
PWY6531	PWY-6531: mannitol cycle	N	 0.06780941	0.03447994	0.04921514	0.07526838	-0.11974911	-0.10317364	-0.22608010	-0.00943671	0.06902673	0.06803694	0.06727657	0.06987670	0.00532799	0.00604608	0.07043574	0.02447838	0.00036622	0.00126553	0.02033606	0.02245908	0.01061961	0.03323977	0.00000016
PWY6545	PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III	N	-0.02685984	0.02563029	0.29470544	0.37247493	 0.08756974	 0.41445706	 0.39983347	 0.56548540	0.07152973	0.07064242	0.06963380	0.07250878	0.00000000	0.00000000	0.07160399	0.02582406	0.00102121	0.00268068	0.01500809	0.00000008	0.01388279	0.03974377	0.05096473
PWY6549	PWY-6549: L-glutamine biosynthesis III	N	 0.01918295	0.02524538	0.44733325	0.51746600	 0.27610810	 0.47522980	 0.54307617	 0.60455203	0.06652288	0.06536337	0.06455001	0.06753607	0.00000000	0.00000000	0.09832791	0.02845603	0.00003642	0.00023674	0.01593093	0.00000008	0.00000048	0.04162484	0.05675534
PWY6562	PWY-6562: norspermidine biosynthesis	N	-0.07768874	0.03912888	0.04712276	0.07309382	-0.24433867	-0.33029947	-0.19500233	-0.15917035	0.06729241	0.06581322	0.06506311	0.06756037	0.00001259	0.00001809	0.00710490	0.01773121	0.66886475	0.70230799	0.00506651	0.05023748	0.00524540	0.04941946	0.03983967
PWY6565	PWY-6565: superpathway of polyamine biosynthesis III	N	-0.07682819	0.03912911	0.04962750	0.07526838	-0.24681002	-0.33268386	-0.19783706	-0.16073325	0.06746512	0.06600165	0.06525085	0.06773951	0.00001082	0.00001572	0.00679432	0.01765840	0.68126461	0.70986733	0.00500735	0.05050016	0.00577442	0.04903565	0.03934997
PWY6588	PWY-6588: pyruvate fermentation to acetone	N	-0.11361367	0.02952314	0.00011890	0.00031212	-0.12122905	-0.32410929	-0.24946220	-0.07248125	0.07448446	0.07418121	0.07280019	0.07540492	0.00004698	0.00006226	0.04342948	0.02209257	0.02119089	0.03403008	0.03334530	0.00974100	0.03178803	0.02920291	0.03302560
PWY6590	PWY-6590: superpathway of Clostridium acetobutylicum acidogenic fermentation	N	-0.22373788	0.02954709	0.00000000	0.00000000	 0.12974818	 0.10836971	 0.17337335	 0.28626485	0.06658332	0.06491785	0.06404973	0.06684959	0.00071274	0.00083870	0.00946771	0.02021835	0.63523472	0.67341922	0.04413060	0.00460489	0.00044954	0.06357324	0.07082932
PWY6595	PWY-6595: superpathway of guanosine nucleotides degradation (plants)	N	-0.01571879	0.03290702	0.63286173	0.68560020	 0.02411817	 0.02789030	 0.12891016	 0.19449751	0.06909335	0.06806056	0.06722100	0.06985989	0.03219627	0.03474143	0.06037641	0.02185148	0.00060131	0.00172798	0.06820885	0.01552586	0.01254801	0.03825260	0.00000018
PWY6606	PWY-6606: guanosine nucleotides degradation II	N	-0.09322907	0.03092310	0.00257151	0.00540018	 0.07406954	 0.06145696	 0.12151775	 0.34697690	0.06987336	0.06893436	0.06816498	0.07059795	0.00002381	0.00003283	0.03713622	0.02126026	0.04944022	0.06616265	0.03695626	0.01180056	0.01293869	0.03098221	0.02548866
PWY6607	PWY-6607: guanosine nucleotides degradation I	N	-0.07828533	0.02669017	0.00336532	0.00685622	 0.19481692	 0.34151264	 0.46204227	 0.63822743	0.07240917	0.07155742	0.07046106	0.07331246	0.00000000	0.00000000	0.06328470	0.02350423	0.00107995	0.00278138	0.03483988	0.00141301	0.01896832	0.04228083	0.03444323
PWY6608	PWY-6608: guanosine nucleotides degradation III	N	-0.07274633	0.03066931	0.01769597	0.03077069	-0.13179771	-0.39119874	-0.27548974	-0.16729439	0.07387844	0.07278968	0.07175556	0.07455574	0.00000082	0.00000134	0.03862061	0.02173879	0.03360850	0.05013727	0.00000009	0.00830285	0.02132407	0.05228339	0.02680539
PWY6609	PWY-6609: adenine and adenosine salvage III	N	-0.22713637	0.02644134	0.00000000	0.00000000	-0.10821630	-0.58124587	-0.26077197	-0.69182160	0.06852107	0.06777289	0.06660411	0.06956835	0.00000000	0.00000000	0.11549086	0.02839202	0.00000031	0.00001223	0.00000008	0.00395516	0.01581941	0.04657976	0.04824335
PWY6628	PWY-6628: superpathway of L-phenylalanine biosynthesis	N	 0.04251132	0.03030508	0.16066031	0.21930132	-0.23744263	-0.25948905	-0.20677089	-0.17380999	0.06506278	0.06338422	0.06279486	0.06520297	0.00019678	0.00024199	0.00000020	0.00000000	1.00000000	1.00000000	0.01616864	0.00843813	0.00000009	0.04443022	0.03997595
PWY6630	PWY-6630: superpathway of L-tyrosine biosynthesis	N	 0.01968862	0.03225279	0.54169896	0.60608121	-0.25851166	-0.24564698	-0.19473189	-0.19304104	0.06467236	0.06296123	0.06229521	0.06475784	0.00018252	0.00022753	0.00000046	0.00000001	1.00000000	1.00000000	0.02529450	0.01291896	0.00000009	0.04917868	0.03658778
PWY66391	PWY66-391: fatty acid &beta;-oxidation VI (mammalian peroxisome)	N	-0.14301254	0.02504826	0.00000001	0.00000005	-0.21864875	-0.38836288	-0.21438645	-0.12563676	0.07332373	0.07274960	0.07148599	0.07424961	0.00000300	0.00000465	0.04202181	0.02413489	0.05069231	0.06750732	0.03018087	0.00000008	0.02367008	0.03539631	0.06826169
PWY66399	PWY66-399: gluconeogenesis III	N	 0.08296818	0.04086455	0.04232901	0.06641275	 0.24328169	 0.11205930	 0.38310850	 0.61775790	0.06550190	0.06401146	0.06299830	0.06564108	0.00000000	0.00000000	0.00000034	0.00000001	0.99269485	1.00000000	0.03719942	0.04968383	0.00991721	0.07491279	0.03951678
PWY66409	PWY66-409: superpathway of purine nucleotide salvage	N	 0.08540394	0.02985084	0.00422382	0.00839737	-0.08966541	 0.00332227	-0.15116754	 0.09906998	0.06830508	0.06711549	0.06655776	0.06901401	0.00471784	0.00538900	0.05050314	0.02343327	0.01134189	0.01959707	0.00068893	0.00976060	0.00916783	0.03312314	0.00000014
PWY66429	PWY66-429: fatty acid biosynthesis initiation (mitochondria)	N	-0.13231344	0.03155383	0.00002726	0.00008089	-0.00922337	-0.45443198	-0.21881013	-0.32784478	0.07758231	0.07699037	0.07528683	0.07860249	0.00000000	0.00000000	0.10443900	0.02773155	0.00000448	0.00004941	0.00367476	0.01029942	0.03292258	0.05566885	0.02073216
PWY6700	PWY-6700: queuosine biosynthesis I (de novo)	N	-0.22456346	0.02841372	0.00000000	0.00000000	 0.09192140	-0.18162409	 0.18634098	-0.05687470	0.07847670	0.07808439	0.07617035	0.07959319	0.00018624	0.00023007	0.12299773	0.02980275	0.00000310	0.00004024	0.00837487	0.00324281	0.03769566	0.05210732	0.02050521
PWY6703	PWY-6703: preQ0 biosynthesis	N	-0.01104496	0.03612912	0.75986109	0.80403906	 0.30482999	 0.41757996	 0.44895587	 0.28783865	0.06950948	0.06830650	0.06727116	0.07042147	0.00000000	0.00000000	0.10387170	0.02736625	0.00001238	0.00012069	0.00118475	0.02945761	0.00809386	0.05826952	0.01346943
PWY6731	PWY-6731: starch degradation III	N	-0.03544525	0.03613627	0.32688472	0.40379878	-0.30778619	-0.37370015	-0.19183535	-0.00193299	0.06821110	0.06710538	0.06633213	0.06892775	0.00000000	0.00000000	0.05586903	0.02232073	0.00212495	0.00487488	0.01235658	0.03102906	0.00899220	0.03894062	0.01602823
PWY6749	PWY-6749: CMP-legionaminate biosynthesis I	N	-0.11124805	0.03344529	0.00088210	0.00209403	-0.11820917	-0.14094291	-0.15930390	 0.02153984	0.06483824	0.06394689	0.06349080	0.06553993	0.00969484	0.01080282	0.03523542	0.02058601	0.04574971	0.06191364	0.02394669	0.02540637	0.00527142	0.01700409	0.02127417
PWY6803	PWY-6803: phosphatidylcholine acyl editing	N	 0.15809867	0.02642480	0.00000000	0.00000001	-0.02604634	 0.13134249	-0.04491742	 0.27788681	0.07095034	0.07034692	0.06948643	0.07202237	0.00003664	0.00004928	0.07708913	0.02547336	0.00039232	0.00133880	0.00000009	0.00368889	0.01962321	0.02502424	0.00894373
PWY6823	PWY-6823: molybdopterin biosynthesis	N	-0.15034281	0.02962358	0.00000039	0.00000158	 0.04037090	-0.22521749	-0.27884767	-0.45184623	0.06565720	0.06403710	0.06314839	0.06588820	0.00000000	0.00000000	0.01816175	0.01770201	0.24954497	0.28035300	0.04059644	0.00546643	0.00776704	0.07333195	0.01966876
PWY6859	PWY-6859: all-trans-farnesol biosynthesis	N	 0.00662363	0.02591378	0.79826177	0.83496346	 0.22840169	 0.62029671	 0.55767397	 0.77621137	0.07422804	0.07358634	0.07204636	0.07527988	0.00000000	0.00000000	0.10213304	0.02892068	0.00003063	0.00023228	0.01385313	0.00000001	0.02453728	0.05112693	0.05744982
PWY6876	PWY-6876: isopropanol biosynthesis (engineered)	N	-0.06531412	0.02814511	0.02032223	0.03467481	-0.05418948	-0.04083076	-0.15533373	-0.33991427	0.06988514	0.06891825	0.06819521	0.07057614	0.00001575	0.00002228	0.02986262	0.02126821	0.12771921	0.15093198	0.03370434	0.00548439	0.01536609	0.03126734	0.01511410
PWY6895	PWY-6895: superpathway of thiamine diphosphate biosynthesis II	N	 0.15738622	0.02654152	0.00000000	0.00000002	-0.00118571	 0.03621177	-0.05344318	 0.30591908	0.07320536	0.07212600	0.07119590	0.07396831	0.00001845	0.00002570	0.04705985	0.02260232	0.01851830	0.03009223	0.00000009	0.00000009	0.02282107	0.04844440	0.01000123
PWY6897	PWY-6897: thiamine diphosphate salvage II	N	-0.05783924	0.03195593	0.07034293	0.10214691	 0.12838670	 0.29778699	 0.09798719	 0.14588063	0.06525017	0.06375562	0.06322777	0.06548725	0.00018219	0.00022753	0.00000019	0.00000001	1.00000000	1.00000000	0.02522248	0.01438869	0.00073167	0.03530967	0.04637410
PWY6901	PWY-6901: superpathway of glucose and xylose degradation	N	 0.15544146	0.03059141	0.00000038	0.00000157	 0.37017227	 0.43295440	 0.49307190	 0.67660551	0.06605973	0.06484411	0.06399142	0.06670826	0.00000000	0.00000000	0.05640070	0.02345620	0.00532274	0.01023315	0.01664150	0.01222791	0.00747489	0.05174484	0.03431505
PWY6936	PWY-6936: seleno-amino acid biosynthesis (plants)	N	 0.07513410	0.02539034	0.00308416	0.00637860	 0.21915075	 0.63319527	 0.54732536	 0.72374820	0.07019166	0.06944945	0.06814758	0.07138461	0.00000000	0.00000000	0.14101614	0.03177607	0.00000006	0.00000306	0.00676005	0.00043776	0.01229874	0.04747946	0.06141613
PWY6953	PWY-6953: dTDP-3-acetamido-&alpha;-D-fucose biosynthesis	N	-0.02879667	0.02956411	0.33007591	0.40590416	-0.41906578	-0.41492024	-0.45412702	-0.45656459	0.06754717	0.06668089	0.06597604	0.06825089	0.00000000	0.00000000	0.03160731	0.02149217	0.09984882	0.12169075	0.04321905	0.01116490	0.01227579	0.02691313	0.02988920
PWY6961	PWY-6961: L-ascorbate degradation II (bacterial, aerobic)	N	 0.15167844	0.02654429	0.00000001	0.00000005	-0.05140802	 0.05682449	-0.10463214	 0.08529727	0.07272848	0.07194121	0.07105632	0.07359930	0.09070299	0.09523814	0.04149549	0.02428960	0.07215637	0.09119763	0.00000009	0.00215930	0.02004881	0.03105718	0.03652299
PWY6969	PWY-6969: TCA cycle V (2-oxoglutarate synthase)	N	 0.12769769	0.03267596	0.00009318	0.00025439	-0.03477610	 0.06573792	 0.03771233	 0.30255885	0.07211076	0.07153276	0.07037117	0.07296340	0.00007885	0.00010106	0.05165037	0.02212589	0.00492033	0.00959641	0.05234950	0.01761021	0.02374783	0.03309098	0.02208292
PWY702	PWY-702: L-methionine biosynthesis II	N	-0.05632164	0.03236887	0.08183884	0.11697384	 0.08458508	 0.20088642	 0.19892434	 0.33087220	0.06342439	0.06190731	0.06148006	0.06364425	0.00000233	0.00000364	0.01196402	0.01725608	0.45991012	0.49431285	0.02739351	0.01611540	0.00124517	0.03163918	0.00195956
PWY7090	PWY-7090: UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate biosynthesis	N	 0.04606793	0.03644569	0.20604498	0.27174048	-0.23871044	-0.28399147	-0.11150431	-0.27648943	0.06831343	0.06745490	0.06674640	0.06896655	0.00002462	0.00003378	0.02666275	0.02117032	0.20097553	0.23053075	0.05729186	0.03022055	0.01233189	0.02499274	0.02277243
PWY7111	PWY-7111: pyruvate fermentation to isobutanol (engineered)	N	 0.03124819	0.03362402	0.35320754	0.43240205	-0.09748504	 0.17106641	 0.01602026	 0.18779635	0.07247032	0.07145846	0.07036378	0.07325244	0.00035075	0.00041998	0.05446742	0.02501016	0.01500703	0.02513447	0.01405478	0.01712151	0.01283611	0.04790291	0.05841575
PWY7115	PWY-7115: C4 photosynthetic carbon assimilation cycle, NAD-ME type	N	 0.25670300	0.03849484	0.00000000	0.00000000	-0.30231365	-0.15426119	-0.14560290	 0.18750375	0.07572668	0.07537736	0.07355446	0.07657811	0.00000001	0.00000002	0.06747095	0.02343490	0.00050305	0.00152593	0.03396702	0.03927365	0.03956786	0.04820835	0.01992826
PWY7117	PWY-7117: C4 photosynthetic carbon assimilation cycle, PEPCK type	N	 0.03834600	0.02743831	0.16269465	0.22097333	 0.22388532	 0.39845235	 0.55508171	 0.76834134	0.06499614	0.06391587	0.06324053	0.06593962	0.00000000	0.00000000	0.09372640	0.02683920	0.00005158	0.00030610	0.01113190	0.00573582	0.00316187	0.03435859	0.01943274
PWY7118	PWY-7118: chitin deacetylation	N	 0.18695468	0.02977449	0.00000000	0.00000000	-0.00595259	 0.09389169	 0.00551792	 0.32285337	0.07366907	0.07282642	0.07166142	0.07454832	0.00003194	0.00004317	0.06678556	0.02541226	0.00256020	0.00568241	0.00000008	0.00782307	0.02267541	0.04701525	0.03139432
PWY7184	PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I	N	-0.01787777	0.02551129	0.48343703	0.54990962	 0.08326075	 0.43340697	 0.39753648	 0.57459501	0.07149018	0.07064711	0.06962094	0.07251372	0.00000000	0.00000000	0.07945030	0.02630282	0.00031567	0.00115914	0.01381955	0.00000008	0.01433975	0.03885218	0.04710234
PWY7197	PWY-7197: pyrimidine deoxyribonucleotide phosphorylation	N	-0.06579805	0.03347609	0.04936199	0.07526838	 0.33622928	 0.44592314	 0.47069840	 0.35599354	0.06898925	0.06784231	0.06692121	0.06985230	0.00000000	0.00000000	0.07444137	0.02737324	0.00137311	0.00334696	0.00000008	0.02196218	0.00200897	0.04571656	0.07811630
PWY7198	PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV	N	 0.07198412	0.03293467	0.02884233	0.04692325	-0.09282369	-0.01004370	-0.06168354	 0.26231544	0.06859762	0.06767886	0.06694524	0.06920510	0.00000463	0.00000698	0.01816802	0.02050049	0.36170051	0.39184222	0.05361374	0.01877055	0.01187170	0.02799350	0.04025130
PWY7199	PWY-7199: pyrimidine deoxyribonucleosides salvage	N	-0.15912579	0.02456554	0.00000000	0.00000000	-0.18508775	-0.65384993	-0.31692843	-0.68863555	0.06223230	0.06151710	0.06099927	0.06317118	0.00000000	0.00000000	0.06258721	0.02430220	0.00130917	0.00321986	0.00340143	0.00542903	0.00341007	0.01642506	0.05706671
PWY7208	PWY-7208: superpathway of pyrimidine nucleobases salvage	N	-0.13577213	0.03156828	0.00001699	0.00005331	 0.30940048	 0.37466368	 0.41242996	 0.25208460	0.07187182	0.07078056	0.06969945	0.07280380	0.00000000	0.00000000	0.08616450	0.02829947	0.00040721	0.00135044	0.00000008	0.01128412	0.00822150	0.05186437	0.06461598
PWY7211	PWY-7211: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis	N	 0.09470873	0.02514276	0.00016525	0.00041771	 0.01494117	 0.18079216	 0.03618956	 0.14556425	0.06356588	0.06203260	0.06174564	0.06409929	0.01115912	0.01238390	0.04093562	0.01560384	0.00388481	0.00791457	0.00000009	0.00027290	0.00000009	0.03063115	0.00000004
PWY7220	PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II	N	-0.08566577	0.03187752	0.00720556	0.01375606	 0.33402573	 0.41792068	 0.45437458	 0.34139616	0.06950434	0.06823356	0.06729366	0.07035566	0.00000000	0.00000000	0.08021440	0.02734092	0.00047123	0.00146187	0.00000008	0.01263848	0.00209739	0.05254614	0.06731831
PWY7221	PWY-7221: guanosine ribonucleotides de novo biosynthesis	N	 0.10090924	0.03877900	0.00927028	0.01719600	 0.33590511	 0.42601803	 0.53795496	 0.73280275	0.06695476	0.06587423	0.06490646	0.06743673	0.00000000	0.00000000	0.02804154	0.01998096	0.13518899	0.15704934	0.01554230	0.05223484	0.01803857	0.05500257	0.01615856
PWY7222	PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II	N	-0.08566577	0.03187752	0.00720556	0.01375606	 0.33402573	 0.41792068	 0.45437458	 0.34139616	0.06950434	0.06823356	0.06729366	0.07035566	0.00000000	0.00000000	0.08021440	0.02734092	0.00047123	0.00146187	0.00000008	0.01263848	0.00209739	0.05254614	0.06731831
PWY7228	PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I	N	-0.09019861	0.03203527	0.00487025	0.00949698	 0.33915952	 0.42629837	 0.47112410	 0.35388934	0.07013088	0.06889698	0.06790274	0.07101920	0.00000000	0.00000000	0.08703619	0.02815347	0.00031769	0.00115914	0.00000008	0.01268233	0.00381316	0.05430092	0.06196345
PWY7229	PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I	N	-0.05928465	0.03210408	0.06480245	0.09614711	 0.35711203	 0.43521354	 0.49402891	 0.41409292	0.06808161	0.06673939	0.06587692	0.06887300	0.00000000	0.00000000	0.07512430	0.02654013	0.00066993	0.00184739	0.00000008	0.01423061	0.00000006	0.05152662	0.06295631
PWY7234	PWY-7234: inosine-5'-phosphate biosynthesis III	N	 0.22509688	0.03443993	0.00000000	0.00000000	 0.38704665	 0.45097452	 0.57974719	 0.80349034	0.06932048	0.06859627	0.06709881	0.06997897	0.00000000	0.00000000	0.05364524	0.02352037	0.00843682	0.01545806	0.00377218	0.03704436	0.03219895	0.06706367	0.03700473
PWY7237	PWY-7237: myo-, chiro- and scyllo-inositol degradation	N	-0.17233367	0.03427342	0.00000050	0.00000196	-0.11987697	-0.56316756	-0.32617212	-0.31932567	0.06574387	0.06434925	0.06340359	0.06635035	0.00000000	0.00000000	0.06877468	0.02305298	0.00020674	0.00091032	0.01352048	0.02133666	0.00502081	0.06488763	0.01746349
PWY7238	PWY-7238: sucrose biosynthesis II	N	-0.07007097	0.03048749	0.02153461	0.03651521	-0.43864215	-0.76469019	-0.69058388	-0.96641122	0.06177677	0.06074770	0.06012552	0.06249794	0.00000000	0.00000000	0.06005019	0.02432663	0.00311790	0.00680950	0.00000008	0.02564571	0.00318399	0.03411104	0.04630400
PWY724	PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	N	 0.00093201	0.03502882	0.97876768	0.98236609	 0.12518662	-0.19645979	 0.15293031	 0.33861890	0.07675184	0.07592101	0.07445864	0.07747036	0.00000000	0.00000001	0.03969766	0.02231786	0.04155058	0.06017837	0.00000008	0.02369344	0.02975296	0.05802076	0.04508890
PWY7242	PWY-7242: D-fructuronate degradation	N	-0.16459599	0.03521191	0.00000295	0.00000970	-0.13865621	-0.33717233	-0.34323133	-0.26766016	0.06536271	0.06431628	0.06359943	0.06619392	0.00000001	0.00000002	0.07808994	0.02412986	0.00003158	0.00023299	0.01257653	0.03170106	0.00519752	0.03463719	0.01389170
PWY7282	PWY-7282: 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II	N	-0.02547149	0.03269168	0.43588181	0.51513304	-0.10840253	 0.02571985	 0.08907727	 0.41664627	0.06949345	0.06852046	0.06768827	0.07031037	0.00000000	0.00000000	0.05953978	0.02505617	0.00961094	0.01703757	0.01377026	0.01760267	0.01013030	0.03559632	0.03274854
PWY7315	PWY-7315: dTDP-N-acetylthomosamine biosynthesis	N	-0.23012914	0.02965152	0.00000000	0.00000000	-0.10824062	-0.44094176	-0.25705363	-0.54182091	0.06311653	0.06227585	0.06163025	0.06401478	0.00000000	0.00000000	0.07568996	0.02521916	0.00019661	0.00087990	0.01020427	0.01704741	0.00351022	0.02511772	0.04246043
