Pathway	02-01	02-02	02-03	02-04	02-05	02-06	02-07	02-08	02-09	02-10	02-11	02-12	02-13	02-14	02-15	08-01	08-02	08-03	08-04	08-05	08-06	08-07	08-08	08-09	08-10	08-11	08-12	08-13	08-14	08-15	12-01	12-02	12-03	12-04	12-05	12-06	12-07	12-08	12-09	12-10	12-11	12-12	12-13	12-14	12-15	14-01	14-02	14-03	14-04	14-05	14-06	14-07	14-08	14-09	14-10	14-11	14-12	14-13	14-14	14-15	16-01	16-02	16-03	16-04	16-05	16-06	16-07	16-08	16-09	16-10	16-11	16-12	16-13	16-15	18-01	18-02	18-03	18-04	18-05	18-06	18-07	18-08	18-09	18-10	18-11	18-12	18-13	18-14	18-15	20-01	20-02	20-03	20-04	20-05	20-06	20-07	20-10	20-11	20-12	20-13	20-15	23-01	23-02	23-03	23-04	23-05	23-06	23-07	23-08	23-09	23-10	23-11	23-15	24-01	24-02	24-03	24-04	24-05	24-07	24-08	24-09	24-10	24-13	24-15	26-02	26-03	26-07	26-08	26-10	26-11	26-12	26-13	26-15	28-04	28-09	28-10	28-11	28-12	30-11	30-12	30-15
PWY-7242: D-fructuronate degradation	0	12.8527796945	66.7924939964	21.6066421570	80.8799295621	54.8614062582	16.1394492828	21.6873269542	0	0	18.5692992899	19.9771396389	89.2664279207	60.4901684302	0	101.4827154356	125.9562271166	50.0734438744	73.8045397489	96.9144807364	60.1216981935	37.7975430164	23.5523492667	31.2811189778	68.8036254449	48.7369518642	0	63.3121905978	55.2801572143	86.0196202090	98.3171980456	123.5044734774	50.1731636610	94.3994106905	58.4967929180	154.2366728843	179.7845751478	27.5443234624	236.2822181433	93.3725455472	108.0258524974	240.4593510165	224.7507464809	135.0219463583	211.1699310161	178.0325026842	108.8431746286	69.8450490149	22.1807288203	140.4993873602	105.8112136101	101.8805122762	32.0272029634	103.7529979038	111.9375867028	120.7710684859	101.8791087117	0	87.8721116979	55.8568225165	45.6871596764	53.2808447533	75.9773740684	53.7750394874	68.4197097221	146.4128267828	127.4740145785	90.5752704977	25.7749826019	134.9857939788	82.1499105750	144.0365185144	104.1134139068	55.2289592071	43.3589526968	44.7668338372	103.9129267008	52.9511925032	156.7483175923	151.1617638988	144.1968895647	137.8498127676	182.1191974055	169.5284197091	21.2831411790	84.0491590204	0	130.3525968169	125.2492369046	25.3014307156	94.6361693979	64.9000317494	62.3278093243	62.0104813829	81.0882451395	99.0170728420	110.7403608189	81.0200066407	119.9996249505	75.6445431543	123.3289803893	16.7830252174	0	0	77.7754108071	516.3247045896	50.4734673933	64.6992165274	112.2212817703	98.0197383620	65.7147423297	0	15.8950474021	56.9483098559	38.4117956779	40.7277518314	13.3367118345	59.9601596718	0	16.3600679579	0	0	0	0	90.1915741957	68.1058440216	22.7590175515	30.5055687343	36.6126593557	18.6561887646	39.2150145409	66.8783697319	0	40.6492801367	23.0705272818	65.3186399030	77.2010711254	16.8391893132	19.1405834051	48.6971715768	21.1165048266
PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	668.4681315894	593.0919032740	690.1691597877	130.4378415654	566.9013308232	578.6352149110	1039.7157176568	955.1341569205	1066.8480636327	733.7207017696	846.1470589458	709.4810608449	605.0792974154	507.3841870879	816.4030795246	555.3864081313	794.0560494836	656.7662936110	269.0500356320	489.0071120647	529.5788264996	700.4811175861	687.7703663476	957.3246363471	584.6502267687	683.1958885749	853.7954018459	716.7092849884	535.1354187331	742.8096108003	505.2680411346	699.2019199495	988.9683057940	811.7985836101	756.6076490088	809.6555761996	809.9064088637	390.0874423278	1034.5463475210	759.1371756966	464.2080681338	889.9374336799	1240.2959697656	775.8426858144	1424.2784561592	783.9079371932	773.2836938884	624.7453638589	482.1370643215	684.1875018575	453.4091272981	894.2597319406	666.2423492347	1024.5146905489	1080.9666289652	944.9872668535	902.1749331252	891.8787482528	799.8111348582	770.8447115278	263.1026551421	722.3304684466	623.6131098611	768.1804030628	586.9978308372	444.1402914250	466.7675855413	393.5229589267	835.6069896743	448.4433269209	326.4210374433	593.0789661160	595.7829989982	495.6251222532	1360.9662358003	1148.9291354222	742.0148767057	480.4505029055	1147.6764408026	689.9635303057	671.1626496842	1138.8125852431	946.0544102780	943.1454249275	698.0490358879	494.4986749913	687.1294986101	673.7337785936	1175.4153022885	294.5255268356	608.1177083702	456.8572784420	424.8027278227	432.0227558076	619.2813723678	614.6977464364	571.6630420146	654.7452544544	564.8323193765	527.0567881365	1185.6654474022	448.9011494375	289.4497726524	447.1057239744	495.3474852394	3470.5031843908	720.4614159593	445.7363565861	1066.1817182077	1072.6172345386	560.3761986171	659.0461014176	912.9121879489	619.5191822375	479.4759868103	431.4983811589	350.0433076769	458.8737356542	545.0221748334	583.5187302042	617.6775401007	1124.9440864825	459.3491573400	1078.5592004347	480.6557838752	343.6236777853	640.8188394230	802.4805039626	630.8799321060	348.8755637803	641.9943267725	438.9924942699	813.3889206982	393.3478778199	329.5334279064	704.6871362429	353.7901155313	683.1034578754	184.6672334302	388.3736383516	402.0723542813
PWY-7269: mitochondrial NADPH production (yeast)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.0242079975	0	0	0	0	0	0	0
PWY-7282: 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II	324.5258599565	326.0408782461	213.1029599062	27.5548504086	252.0841624512	248.2812249628	537.9317493204	528.1667239573	516.5059738220	421.7778682186	448.9098982072	342.5664490097	218.2740696175	165.0058329665	356.9855813463	147.8867304703	336.9693182933	181.7773621647	59.6767910607	148.5426599707	164.9716420120	162.5220753368	146.8445033414	191.4486483342	173.9660494879	135.9358727304	191.8462509778	198.0101512854	79.9693321956	126.7152463735	103.0748879227	172.1253852913	144.8126865141	136.2901543333	135.4863378864	65.2193891469	166.4273128879	43.7102414589	198.2636861539	163.3251362163	271.6779425932	164.7658107462	373.3143625695	380.6820657320	419.9142493649	285.4453034954	289.9123349512	168.0798060955	181.5750504246	110.3307077149	96.0318606969	233.3383995101	123.4254576778	334.3504223859	271.4579869853	358.9881854404	368.4386288653	410.6359220633	289.0106875502	324.5033276406	31.0919567057	149.1033445027	116.2606302113	138.8436231444	126.1886078947	104.4492242022	117.0669563774	0	202.8769010618	39.5382881851	0	144.6209601881	113.0773626892	263.3423790538	190.5234206438	162.6766210819	227.2904480950	119.7305553577	177.5981775599	146.6064342142	119.3905723268	161.4566784180	227.9772787856	133.1105520034	201.0924139163	123.9453619346	280.0434322046	120.0492310477	324.7599713044	62.3175351648	130.2543986378	0	105.8027368911	0	115.5777136665	0	0	0	0	0	159.8366557717	62.1121993090	0	0	77.9043064525	474.0453081955	84.7331326096	53.4351150277	0	141.1205402569	65.2613539958	78.2683267957	142.2032266344	140.6973781031	118.6335047793	0	0	0	0	0	0	79.4970086877	0	0	0	40.3775649222	0	0	0	0	0	0	68.1693797724	93.7843477454	0	48.4512078941	0	200.2002910116	0	0	0
PWY-7315: dTDP-N-acetylthomosamine biosynthesis	51.6207308731	0	61.7811034699	28.9074200438	150.9031265883	129.2169774888	69.4910921534	46.4823436930	139.9437527761	26.9237568410	34.0380190168	0	129.1437030396	83.6441540913	0	85.9978225136	89.4355823277	0	26.5755756556	115.9228958516	24.9954223841	0	0	0	0	54.3401910443	0	46.2497066376	81.4674685695	44.2942659939	166.9019172311	207.2591664579	91.9264038750	181.7646990943	37.2098642588	176.3330308569	271.1364794371	31.6340642257	286.4402260734	131.1701236732	155.0477413562	424.2893275857	173.6548013486	110.6919493343	128.8054795081	63.2678479441	40.7442119201	92.6268427321	57.8695831979	187.5518317867	89.6290968183	59.0536249964	0	86.2429800632	99.7046115478	107.1989932238	158.8976275022	0	118.8326930110	0	26.9027674411	109.1039110181	155.9589901333	126.8694613774	153.8940861425	242.5059062536	105.2525605705	203.5878942554	73.4084565794	245.7256216790	220.7519219829	259.1447320269	246.4844477474	89.4724497480	33.1512304003	87.3941387988	160.6671539227	332.9471855020	255.8106801518	184.3254068469	111.2980752164	127.3615992278	282.7437735726	204.7383146344	109.2159391662	171.6700221235	29.9368905792	300.8013502361	384.2163653331	0	0	108.5378270539	281.5586815267	118.1605178632	99.6054726280	146.7572075755	336.5469718865	159.7378972259	228.1079059576	208.2710925835	169.5463458737	0	0	0	227.7660173620	943.7424843529	0	158.8955065242	27.1889527244	28.4088158854	51.5456120427	49.5372334943	65.0467750977	0	46.5366259661	44.2487695084	115.9092997716	0	0	0	0	0	0	0	206.6061011414	111.9519771355	0	64.8231357123	0	0	35.2638795302	39.6660420473	0	67.7652630034	0	59.9046189116	65.6015502123	0	0	96.0201985169	22.9049390325
PWY-7316: dTDP-N-acetylviosamine biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.1661333787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.5383607806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.8980332023	0	0	0	0	0	0	0	0	19.1811698520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7323: superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis	0	0	24.8069831749	0	0	74.8956832990	0	0	0	0	0	0	80.9356562612	21.3828549731	0	63.6310941547	103.0949470682	0	69.9197220692	23.1894916781	32.1788209540	0	0	0	40.2939519713	61.0106082005	0	0	0	31.2575986153	62.7327744364	85.4309565856	67.6372951532	66.5392131377	0	74.4431061535	87.9581114834	0	86.1034888197	67.0125265618	23.4561805402	93.9807707095	38.1403204826	55.1159168838	62.1470368553	56.0439622264	72.5894641685	72.9443811861	0	75.7245846206	58.4736029829	57.1653196060	0	0	67.2908867492	32.1114829803	73.2641011524	0	0	0	0	0	46.5380593130	33.5117609880	54.2135373683	53.4869881987	0	48.8136543235	0	45.8370944232	27.8601469233	64.9709565605	57.5866342537	17.4766192588	78.2183158032	88.8767369476	112.4666252950	64.2902480313	73.8316214327	76.8072495885	65.4933063127	87.4262592960	111.4113478461	64.9023511036	0	57.6077034420	0	73.9720030456	110.4377332642	0	0	46.7282178153	23.2217583796	0	64.7544580198	19.8294697360	0	0	28.5573374816	23.8698214872	72.4469605227	28.9198946085	0	0	41.1182284151	311.9644158762	23.2015601476	19.2365344768	21.1861637901	41.3189013801	40.8374411169	78.4562038847	0	0	29.2062890478	0	0	0	0	0	0	0	102.5515858236	44.4758958973	37.7545248162	30.7840481184	0	67.1897959134	0	98.1221834112	70.9787820912	83.9184448789	43.0071740460	0	28.8152031195	25.4410383100	19.1352410716	62.9863961369	0	0	0
PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis	143.0642920279	48.3085639390	242.4020274664	43.1287901787	393.3511531502	300.3385803032	89.0015570296	167.4713542739	227.4528988869	219.4019333422	180.7932394212	65.6831211986	264.0430220678	204.0702416078	0	167.3831749666	313.2830430894	50.3064053420	169.8486522336	174.2387121380	123.0091714977	51.3257938275	0	104.0138464885	194.0503901038	132.6561004792	66.5879667196	121.6136098170	92.4209237674	132.8895457372	59.0397654205	362.6891911152	295.0174694729	258.0327874706	119.1792875335	165.2029195521	182.9945525381	48.2635597629	259.0131077448	161.6088204899	167.0877563951	361.9926821437	285.9420205207	155.3063680945	207.1663772110	265.0663880351	263.3387025557	233.5617114683	68.2298996190	268.2671523303	131.7962506017	114.7221454235	0	172.8849687865	213.0646995187	279.6643335112	374.9474764683	0	184.7227689399	0	40.9000122543	177.0781533335	253.1090480743	201.4502354633	252.5206796128	90.6142503181	195.4947333098	53.1076181030	96.7821929807	138.7226746277	88.4932313668	330.6839707316	291.2760838026	76.1450202103	337.5411003661	327.1352023323	401.0911537570	353.5708673853	540.8247003386	354.1999366144	292.6515853913	328.2055553330	444.4566190406	421.7685771406	108.5974791605	330.2472315808	108.1503657984	375.0629027537	649.6722301778	0	135.9648400146	206.0255304951	166.9494929201	228.5968811315	166.6299773799	210.3287665797	205.1487202307	299.2882845292	293.4507426129	279.0061742849	345.2283297145	207.3875710654	66.8114695475	148.7214709503	249.3837385208	1530.2241096404	86.5717161062	148.4530536551	194.5715739549	54.7907780653	214.7622607565	221.3550812874	122.8083909431	125.8661651312	166.5363484367	190.3000397926	188.2600157352	81.7455595209	0	0	0	0	98.5945942893	135.7127799323	132.5821677381	214.3462673252	87.3585754694	191.0328448077	122.3707183299	208.8798677959	132.3599817191	179.3691489003	49.8769779114	270.7617258929	57.5050554687	255.0795295879	88.8286676318	113.8346149860	119.4907157540	133.7741586396	108.1817758294
PWY-7345: superpathway of anaerobic sucrose degradation	1086.9971770322	804.3157906685	826.9784431681	275.7100563657	577.6147438791	701.3880669143	1551.6794275647	1483.5260994708	1438.6636951204	1071.5261487827	1066.8750899106	1033.5352649121	600.8585942369	486.1542780443	1188.1192382726	457.8842524147	630.3314665771	643.6352907204	158.6112126499	355.0084805428	658.2374851751	603.3112749203	658.6441667404	657.9444213719	413.5369089622	377.0461510264	554.3046984191	684.1562655524	447.1956972210	442.2506552602	136.3501517310	288.2130553551	544.3160665438	395.3783740896	428.5243606490	171.6837527581	338.0377862303	124.5229007174	305.9915909752	316.7537555906	283.0414260230	211.7832309189	511.1511495825	488.7370182221	493.2139485377	554.9785461780	512.1465469277	362.6543597193	301.6162191954	238.4085615239	163.3289771345	515.7103942445	309.3154394272	531.8756504699	447.7291366898	452.0777491672	376.8093492885	442.8459444466	459.7011179393	450.9419629313	0	338.9891911768	252.9474476382	314.4504987875	155.4898418383	127.9775758720	281.4502900220	116.6090797619	440.8599602887	81.4343787748	94.8385866192	108.4226469761	212.1079398667	373.0153702766	541.7437751327	596.8692395343	268.5525806505	273.1422126949	361.0571237928	210.4080618911	185.5723336208	274.7414554507	230.4474082373	292.3448076650	298.4841874579	164.5967349526	328.8308494785	206.4356145612	267.6172129542	141.5937848406	153.8981026142	80.1413450479	0	0	156.8052117622	0	0	0	0	0	0	160.8521168927	80.4962488260	92.1835908187	0	416.7455650525	151.8478533067	0	106.0222816794	388.6263409091	127.7215592588	0	0	126.5961782014	0	0	0	0	0	0	0	121.1319810947	0	0	0	0	97.2141913254	86.9679075188	91.6857106835	0	0	0	0	378.9391824735	0	90.0391111728	0	0	0	0	0
PWY-7356: thiamine diphosphate salvage IV (yeast)	43.5595590288	40.4669234334	117.2554402419	23.3034394833	194.5593694587	141.9060227325	63.5959121609	48.2615780819	0	49.5170571961	47.4066825444	65.3659036960	131.8348534023	79.8689461763	31.4496624116	147.5491526843	146.6576233269	40.7928655647	66.4136526403	150.8723598418	50.1082798909	28.2634578038	35.5759391017	81.6670057912	88.3806539017	53.1414480819	0	50.5767156665	49.1043125097	109.4922523368	120.5785413605	200.8609094467	210.3626212571	200.5955392306	144.1050729817	111.6186122597	172.6191874337	45.0539883961	190.7942298314	124.8409742003	245.1687700165	315.8471859120	426.3830768369	336.3502186672	420.5109006360	287.9087275138	262.2583438410	211.3310801464	140.5988614362	205.4465457296	118.1254588748	247.0789787552	159.8018641149	332.3639265654	314.5503099279	310.2035330769	289.5800977618	429.2616149829	256.5565821700	318.9299598863	60.4959497820	162.8811260119	149.8189671022	219.0750832976	197.8771031074	107.2431879528	108.2869965772	70.6582991058	248.1686844447	59.5965834344	0	123.0316394540	116.0708044569	128.8890875980	276.9567611951	180.4253238274	213.5646544381	150.3317592899	258.2955146227	154.5238034249	137.8277089745	217.6574204411	279.3961222843	169.1916076653	130.7188502820	115.0146419687	131.9353166515	151.6462560990	286.5454571651	77.4656971018	225.4965209985	108.9559065765	160.2761191023	138.0300676686	116.6438054632	120.5741878126	141.0063161101	133.1294568884	124.0414559270	100.7453110405	126.8492197550	97.3821289859	76.9784098512	0	116.4284906133	985.8810090361	100.2199612352	66.5078877529	168.7209053667	154.3994308549	162.0354628337	142.4773343495	90.4589527546	171.4485517931	93.4547777196	125.0570400209	118.5199135806	141.6689591069	0	0	0	0	135.2267041842	241.2264754456	126.6885456738	61.3875738866	0	117.7289210846	120.0452819544	101.9740800435	84.3873227498	134.4723929854	140.0060763289	114.0767092886	0	84.9652786268	68.0524658474	114.4645102682	0	0	64.7705428770
PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)	403.5578927841	334.3506830630	374.6346874926	62.9935690938	331.8374297070	370.2443980314	639.1561400352	523.8053844233	662.4326232340	448.0967109993	540.4742921129	452.0643370714	317.7494517809	204.2332385547	539.6293911594	309.3976493174	438.0833725192	314.4336010304	126.9761110468	258.5753695701	275.7905990314	319.7070092727	264.3858256159	320.4494361344	168.3856736060	175.6802412547	169.4222724866	296.1669983142	200.9789077448	204.2857640151	199.8162725179	258.8462304520	322.5276172141	229.2955068507	241.1951460116	170.9334486045	309.8338622116	129.0544225908	284.8106044486	240.8038449229	379.6360624880	508.1006217300	625.0175930278	541.2978677934	672.3438393384	397.0284179767	394.9660872786	326.4769042795	182.2798453212	221.4192017459	155.8962071940	365.7167011719	227.7801561623	365.1143760050	349.6133919715	441.7926779874	458.2737811946	613.7887938952	350.0783133703	419.8300794272	73.2741273203	253.6683987174	259.8791591895	232.3644974265	265.8943075671	181.7183589779	215.3388694908	113.5480364578	244.7065020661	51.0257607186	41.4168280356	253.1034307759	192.4535390506	314.9855769515	393.4442658064	342.5935862679	395.6703951733	341.8830075513	314.1648452450	234.9645561805	207.0257015853	230.0095685120	385.8150035167	248.3197938139	253.8637328236	277.4619356897	337.4481822812	281.9847767994	602.0001082374	100.5883125588	277.9210682502	152.8852139519	160.8989700264	173.6749860785	206.6493768325	185.4161656587	224.6800084390	269.6828152603	227.0902843787	238.8597326729	348.9929813695	96.6146198156	72.3285838175	118.5472935565	167.2942043035	1340.0817255425	169.2819243728	112.1934711141	266.1465803697	281.9751501375	259.4758789122	252.7059222598	179.6240049727	263.6956475396	193.6243941676	189.3753133849	160.5164241970	210.3302728322	166.6752960638	178.9362536983	170.2598365053	322.7103743414	255.3060743174	383.5871324439	168.5869176631	64.7461844867	71.8478617559	135.4922477169	118.1660661559	157.5101242370	216.6084951529	167.0228167866	285.0682971284	212.6948927558	70.9678551138	129.1950055293	69.4859145234	243.6816342144	91.9351458296	48.1857676852	140.0914853774
PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)	489.8130382575	354.1998914450	556.3476023117	0	320.4079317755	405.4995192059	728.3139611330	647.5341030306	917.2542707460	479.1717884368	528.5681796226	585.2443721048	332.2309787911	268.9572935244	519.1538849050	103.7580184578	176.9871510310	189.7731602991	30.1071190418	57.0406465401	186.3878005975	280.9427697471	220.3169776490	300.1341539612	80.4566048737	67.4787860039	111.3148146814	176.2348458813	0	157.5545898142	64.0950004098	109.9453481946	180.2556272200	125.0904482599	131.3884050751	251.3535069356	209.3736315362	0	202.1901387947	138.7738584465	141.5915971397	106.7045372956	100.2469043383	123.8438035567	183.0490803191	132.9353674002	124.4078975218	68.1124264844	160.8439813857	85.3077605044	74.2929122257	127.7123571183	0	176.4995316717	115.6210094722	346.4557141524	234.3943670052	191.8614745917	174.6190542522	163.8161910468	0	59.7482560062	133.7249553325	94.2269550053	62.0152386619	137.3784399612	131.9666636517	75.2258302133	53.1925282597	90.2845203406	44.1803400816	46.0787243756	68.4867680763	329.0678788929	0	0	77.8939698346	68.1737426871	127.5024673772	163.0348779511	38.6916476921	0	200.1896575891	196.4276614647	131.2325277506	54.9758699237	113.9730152385	116.3517960074	160.0324548770	0	0	42.6371122475	37.6284184659	0	51.7233842193	50.7079014683	42.6843038461	63.7624905722	75.1705576095	53.9390259330	165.6688121263	0	0	0	35.0234692865	725.8224388495	0	0	42.9792863122	0	0	134.1046063509	154.0824328735	37.3759803195	96.3930903104	0	0	0	0	60.9797725512	62.3684506362	74.9558038209	48.9824114104	81.5954400082	57.5633285750	27.2090592689	77.3479774826	0	0	127.3965915846	96.1891167961	84.4951123778	60.4628296905	0	0	0	0	92.3757393244	0	37.3291234738	0
PWY-7388: octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.6464272818	0	0	0	0	0	0	0
PWY-7392: taxadiene biosynthesis (engineered)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195.8937904051	0	110.3103777263	181.7844772402	212.5741171547	0	0	0	0	0	0	0	0	0	0	125.8860789912	134.3229152044	342.1684196790	130.9313357614	157.0657518240	0	0	0	0	0	0	0	0	0	0	53.3519483127	70.4284737221	34.2905794699	0	0	0	0	0	0	0	0	0	0	0	206.3675661531	58.6661896356	159.0406014083	99.9413059005	185.5655014247	0	0	0	0	0	0	0	0	62.2652681153	47.7948433328	0	101.1861680261	0	0	0	0	0	0	0	0	0	0	96.2915482692	77.4050329604	0	0	0	0	0	0	0	0	0	126.5488005242	222.8399077936	0	0	0	0	0	142.1407978034	70.4928958536	102.7797592672	134.3605898712	13.5191123083	0	0	0	168.4149127032	0	0	0
PWY-7400: L-arginine biosynthesis IV (archaebacteria)	0	0	0	0	156.7988882467	0	0	0	0	0	0	0	132.1874167631	0	0	162.5650963479	130.0868248402	0	0	175.7270881468	0	0	0	0	146.5548107003	179.7390574374	0	0	0	0	0	0	187.6941140810	0	0	268.8467020204	304.9072147419	202.4873918069	315.9896400405	189.4277799877	569.8161948217	233.7126226256	624.3527438045	632.1390519914	860.3323107604	0	142.2501778975	0	0	384.3278506067	154.4591492840	130.3098958185	0	0	0	582.6559323658	650.2042373646	1235.1741373851	627.5570675449	729.4567427757	129.7273797596	0	243.1621260488	0	0	202.6868303979	172.8227896218	227.2187271173	0	218.2044634915	341.5666192305	520.4240775831	0	221.9015150358	0	141.4735234495	270.6433332122	138.8970180733	454.5994955571	207.6906389699	194.2548918286	204.7670869475	206.6461278705	224.9533374191	706.3893899576	437.0512274862	661.5583391259	451.8681871125	1063.2760161865	0	0	176.8427635922	222.4476412161	382.8063116849	180.6125974462	165.8927380749	178.8499884077	635.4524257368	466.0800209048	407.2095633749	847.6156674342	400.2318357082	304.8629421611	364.6470265651	380.1245811333	1298.8043520707	0	0	0	0	0	669.0761653474	421.8697785999	363.8355552508	472.4092169874	344.5975753097	0	310.6847265364	0	0	0	0	559.4838835425	1041.9567196041	473.8014915721	344.7699851054	313.6194313662	558.0854428372	364.1157942776	505.1688788143	507.4090166965	623.7544293027	607.4007089278	488.2884814043	272.2678144887	604.1967451753	375.0598830326	715.3981359810	203.6890103647	415.5132387798	0
PWY-7456: &beta;-(1,4)-mannan degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.6732704906	0	0	0	54.8077300661	0	0	0	0	0	0	0	0	0	0	0	0	37.3818775168	26.7724440510	46.4907467219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58.3695684701	37.8067561148	0	0	83.3084387157	75.0639249823	69.9258616859	84.5945148965	0	0	0	0	144.9365567473	21.4535178082	16.6649605341	78.8174188169	36.4556596781	48.9410084507	72.2525487274	28.0238792140	0	27.2941427655	42.7364416237	34.1061405337	0	0	0	26.7018878759	0	99.8678947069	56.5124458340	34.0241350878	26.8307937329	0	78.4785202813	0	89.7344302565	69.2811443921	75.2318688711	48.3018180821	0	27.1359191481	21.9021082900	17.2849918172	60.3485672819	0	0	14.9659530669
PWY-7560: methylerythritol phosphate pathway II	1080.9222678546	981.3875185502	899.7010479563	201.3146021329	727.9053399094	697.6216460224	1604.7918560104	1578.7450891370	1670.2164712658	1307.0353439547	1156.6935082530	1175.8508471487	637.7987293827	559.0204853876	1313.5269740972	500.4153762379	664.4595983573	770.9068120916	258.2241135757	377.5179923876	630.9063439927	793.7140131599	843.2147061673	926.1785712393	533.7997355435	514.6753128835	841.2856810989	904.0622558487	603.6975478049	589.5222936384	284.6605561168	547.6710380012	851.4700431275	871.3255934329	602.3689638046	324.2601274927	390.1437515001	191.0871712465	369.7381713189	368.1183075035	513.8123197332	596.4810458636	964.5191250059	818.7438797549	1037.2556695804	796.5501930826	734.2392065906	574.7193257118	752.2926352750	491.7589295376	251.9556618900	828.2978226681	543.9475166653	1061.1645517169	941.5784199821	690.1893236120	641.2245406532	1075.3884921582	642.9867089795	698.6222849348	135.4725807089	533.6648818031	493.3998149850	780.5769722270	453.4093791196	228.6294797836	436.4095014641	182.1878312082	882.8121139828	200.9718940751	149.9641024914	387.2269821613	364.3129318344	558.7555345253	1095.8023598282	981.5665876962	539.1747330479	512.9079025513	917.7688479667	465.3253639101	361.6622445976	760.6069939353	537.9797304446	666.7958829542	557.3061052900	344.4328306282	706.8018470558	494.4410640663	808.8010039647	220.8370085635	488.0216019573	247.2501103465	246.2371834994	325.0015592645	184.4203683419	114.2108530925	0	415.1009428652	254.7131211759	242.4355492611	612.0907358779	454.1476678938	197.1646355176	448.6648716693	341.8304182540	1451.3628332954	188.5200274957	236.8484769796	378.5633960669	580.0170282818	232.4929736753	592.2106277575	456.5848597516	564.4181970232	237.1565876945	135.3288122314	136.2349846505	497.9527502850	568.4010066767	373.9575669988	298.1461007053	812.8503639306	526.5397454881	834.6402376143	159.2136309788	310.6863357092	463.4356179912	427.6210172319	271.1121581991	499.5174060076	465.6627211135	553.3557711678	545.9179411673	693.0268658471	326.6358679971	588.2735777531	280.7750670888	560.5268540238	207.5027410051	0	0
